name,meaning,origin,gender,nationality,language,script,era,notes
Samuel,Heard by God,Hebrew,boy,us,en,Latin,classic,Biblical
Joseph,God will add,Hebrew,boy,us,en,Latin,classic,Biblical
Owen,Young warrior,Welsh,boy,us,en,Latin,modern,
Wyatt,Brave in war,English,boy,us,en,Latin,modern,
John,God is gracious,Hebrew,boy,us,en,Latin,classic,Biblical
Jack,God is gracious,Hebrew,boy,us,en,Latin,modern,Short form of John
Luke,Light-giving,Greek,boy,us,en,Latin,classic,Biblical
Jayden,Thankful,Hebrew,boy,us,en,Latin,modern,
Dylan,Son of the sea,Welsh,boy,us,en,Latin,modern,
Grayson,Son of the steward,English,boy,us,en,Latin,modern,
Isaac,Laughter,Hebrew,boy,us,en,Latin,classic,Biblical
Gabriel,God is my strength,Hebrew,boy,us,en,Latin,classic,Archangel
Julian,Youthful,Latin,boy,us,en,Latin,classic,
Anthony,Praiseworthy,Latin,boy,us,en,Latin,classic,
Leo,Lion,Latin,boy,us,en,Latin,classic,International usage
Lincoln,From the lake settlement,English,boy,us,en,Latin,modern,
Joshua,The Lord is salvation,Hebrew,boy,us,en,Latin,classic,Biblical
Christopher,Bearer of Christ,Greek,boy,us,en,Latin,classic,
Andrew,Manly,Greek,boy,us,en,Latin,classic,

Chloe,Blooming,Greek,girl,us,en,Latin,classic,
Grace,Elegance and blessing,Latin,girl,us,en,Latin,classic,Christian virtue name
Zoey,Life,Greek,girl,us,en,Latin,modern,
Riley,Courageous,Irish,girl,us,en,Latin,modern,Unisex usage
Aria,Air or melody,Italian,girl,us,en,Latin,modern,
Lily,Pure flower,Latin,girl,us,en,Latin,classic,
Aubrey,Elf ruler,German,girl,us,en,Latin,modern,
Hannah,Grace,Hebrew,girl,us,en,Latin,classic,Biblical
Layla,Night,Arabic,girl,us,en,Latin,modern,
Nora,Honor,Latin,girl,us,en,Latin,classic,
Addison,Son of Adam,English,girl,us,en,Latin,modern,Unisex usage
Ellie,Shining light,Greek,girl,us,en,Latin,modern,Diminutive form
Stella,Star,Latin,girl,us,en,Latin,classic,
Natalie,Born on Christmas,Latin,girl,us,en,Latin,classic,
Zoe,Life,Greek,girl,us,en,Latin,classic,
Hazel,Hazel tree,English,girl,us,en,Latin,classic,
Violet,Purple flower,Latin,girl,us,en,Latin,classic,
Aurora,Dawn,Latin,girl,us,en,Latin,classic,
Savannah,Open plain,Spanish,girl,us,en,Latin,modern,
Audrey,Noble strength,German,girl,us,en,Latin,classic,

Ethan,Strong and firm,Hebrew,boy,ca,en,Latin,classic,Common in Canada
Caleb,Faithful,Hebrew,boy,ca,en,Latin,classic,Biblical
Nathan,He gave,Hebrew,boy,ca,en,Latin,classic,
Aaron,Exalted,Hebrew,boy,ca,en,Latin,classic,
Connor,Lover of hounds,Irish,boy,ca,en,Latin,modern,
Sophie,Wisdom,Greek,girl,ca,en,Latin,classic,Popular in Canada
Claire,Clear and bright,Latin,girl,ca,en,Latin,classic,
Madison,Son of Maud,English,girl,ca,en,Latin,modern,
Brooklyn,From the brook,English,girl,ca,en,Latin,modern,
Leah,Weary or delicate,Hebrew,girl,ca,en,Latin,classic,Biblical,
Isaiah,Salvation of the Lord,Hebrew,boy,us,en,Latin,classic,Biblical
Asher,Happy or blessed,Hebrew,boy,us,en,Latin,classic,Biblical
Theodore,Gift of God,Greek,boy,us,en,Latin,classic,
Hudson,Son of Hugh,English,boy,us,en,Latin,modern,
Easton,East-facing place,English,boy,us,en,Latin,modern,
Ezra,Helper,Hebrew,boy,us,en,Latin,classic,Biblical
Thomas,Twin,Aramaic,boy,us,en,Latin,classic,Biblical
Charles,Free man,German,boy,us,en,Latin,classic,
Calvin,Bald or little bald one,Latin,boy,us,en,Latin,classic,
Miles,Soldier,Latin,boy,us,en,Latin,classic,
Jaxon,Son of Jack,English,boy,us,en,Latin,modern,Variant spelling
Axel,Father of peace,Scandinavian,boy,us,en,Latin,modern,
Kai,Sea,Hawaiian,boy,us,en,Latin,modern,Multicultural usage
Ryan,Little king,Irish,boy,us,en,Latin,classic,
Nathaniel,Gift of God,Hebrew,boy,us,en,Latin,classic,
Cooper,Barrel maker,English,boy,us,en,Latin,modern,
Chase,Hunter,French,boy,us,en,Latin,modern,
Sawyer,Woodcutter,English,boy,us,en,Latin,modern,
Roman,Citizen of Rome,Latin,boy,us,en,Latin,modern,
Elliot,The Lord is my God,Hebrew,boy,us,en,Latin,classic,

Penelope,Weaver,Greek,girl,us,en,Latin,classic,
Paisley,Church,Scottish,girl,us,en,Latin,modern,
Lucy,Light,Latin,girl,us,en,Latin,classic,
Naomi,Pleasantness,Hebrew,girl,us,en,Latin,classic,Biblical
Caroline,Free woman,Latin,girl,us,en,Latin,classic,
Anna,Grace,Hebrew,girl,us,en,Latin,classic,Biblical
Kennedy,Helmeted chief,Irish,girl,us,en,Latin,modern,Unisex usage
Sarah,Princess,Hebrew,girl,us,en,Latin,classic,Biblical
Allison,Noble,Scottish,girl,us,en,Latin,classic,
Cora,Maiden,Greek,girl,us,en,Latin,classic,
Ruby,Precious red stone,Latin,girl,us,en,Latin,classic,
Eva,Life,Hebrew,girl,us,en,Latin,classic,
Serena,Calm or serene,Latin,girl,us,en,Latin,classic,
Autumn,Fall season,Latin,girl,us,en,Latin,modern,
Quinn,Wise,Irish,girl,us,en,Latin,modern,Unisex usage
Piper,Flute player,English,girl,us,en,Latin,modern,
Kinsley,King’s meadow,English,girl,us,en,Latin,modern,
Delilah,Delicate,Hebrew,girl,us,en,Latin,classic,Biblical
Elena,Shining light,Greek,girl,us,en,Latin,classic,
Madelyn,High tower,English,girl,us,en,Latin,modern,

Declan,Man of prayer,Irish,boy,ca,en,Latin,modern,Popular in Canada
Finn,White or fair,Irish,boy,ca,en,Latin,modern,
Rowan,Little red one,Irish,boy,ca,en,Latin,modern,Unisex usage
Silas,Man of the forest,Latin,boy,ca,en,Latin,classic,
Emmett,Universal,German,boy,ca,en,Latin,classic,
Ivy,Climbing vine,English,girl,ca,en,Latin,classic,
Freya,Noble lady,Norse,girl,ca,en,Latin,classic,Mythological
Mila,Gracious,Slavic,girl,ca,en,Latin,modern,
Esme,Loved,French,girl,ca,en,Latin,classic,
Tessa,Harvester,Greek,girl,ca,en,Latin,modern,
Everett,Brave boar,German,boy,us,en,Latin,classic,
Weston,Western town,English,boy,us,en,Latin,modern,
Micah,Who is like God,Hebrew,boy,us,en,Latin,classic,Biblical
Bennett,Blessed,Latin,boy,us,en,Latin,classic,
Camden,Winding valley,English,boy,us,en,Latin,modern,
Brooks,From the stream,English,boy,us,en,Latin,modern,
Xavier,Bright or splendid,Arabic,boy,us,en,Latin,classic,
Ian,God is gracious,Hebrew,boy,us,en,Latin,classic,Scottish form of John
Ashton,Ash tree town,English,boy,us,en,Latin,modern,
Dominic,Belonging to the Lord,Latin,boy,us,en,Latin,classic,
Victor,Victory,Latin,boy,us,en,Latin,classic,
Harrison,Son of Harry,English,boy,us,en,Latin,modern,
Cole,Dark or coal,English,boy,us,en,Latin,modern,
Maxwell,Great stream,Scottish,boy,us,en,Latin,classic,
Jonah,Dove,Hebrew,boy,us,en,Latin,classic,Biblical
Jude,Praised,Latin,boy,us,en,Latin,classic,Biblical
Beckett,Bee cottage,English,boy,us,en,Latin,modern,
Finnley,Fair-haired hero,Irish,boy,us,en,Latin,modern,Variant of Finn
August,Great or venerable,Latin,boy,us,en,Latin,classic,
Emilio,Rival,Latin,boy,us,en,Latin,classic,Spanish influence

Isla,Island,Scottish,girl,us,en,Latin,modern,
Everly,From the boar meadow,English,girl,us,en,Latin,modern,
Brielle,God is my strength,Hebrew,girl,us,en,Latin,modern,Short form usage
Sienna,Reddish brown,Italian,girl,us,en,Latin,classic,
Clara,Bright or clear,Latin,girl,us,en,Latin,classic,
Ariana,Most holy,Greek,girl,us,en,Latin,modern,
Eliza,Pledged to God,Hebrew,girl,us,en,Latin,classic,
Kayla,Crown,Hebrew,girl,us,en,Latin,modern,
Reagan,Little ruler,Irish,girl,us,en,Latin,modern,Unisex usage
Valentina,Strong or healthy,Latin,girl,us,en,Latin,classic,
Juniper,Young tree,Latin,girl,us,en,Latin,modern,
Melanie,Dark or black,Greek,girl,us,en,Latin,classic,
Hadley,Heather field,English,girl,us,en,Latin,modern,
Isabelle,Pledged to God,Hebrew,girl,us,en,Latin,classic,
Maria,Beloved,Hebrew,girl,us,en,Latin,classic,International usage
Josephine,God will add,Hebrew,girl,us,en,Latin,classic,
Eliana,God has answered,Hebrew,girl,us,en,Latin,classic,
Callie,Beautiful,Greek,girl,us,en,Latin,modern,
Lydia,From Lydia,Greek,girl,us,en,Latin,classic,Biblical
Margaret,Pearl,Greek,girl,us,en,Latin,classic,

Arlo,Hill or fortified place,English,boy,ca,en,Latin,modern,
Jasper,Treasure holder,Persian,boy,ca,en,Latin,classic,
Malcolm,Devotee of Saint Columba,Scottish,boy,ca,en,Latin,classic,
Nolan,Champion,Irish,boy,ca,en,Latin,modern,
Patrick,Nobleman,Latin,boy,ca,en,Latin,classic,
Rory,Red king,Irish,boy,ca,en,Latin,classic,
Bodhi,Awakening,Sanskrit,boy,ca,en,Latin,modern,Spiritual usage
Amos,Burden bearer,Hebrew,boy,ca,en,Latin,classic,Biblical
Sloane,Raider,Irish,girl,ca,en,Latin,modern,
Maeve,She who intoxicates,Irish,girl,ca,en,Latin,classic,
Zachary,Remembered by God,Hebrew,boy,us,en,Latin,classic,Biblical
Adrian,From the Adriatic,Latin,boy,us,en,Latin,classic,
Brandon,Beacon hill,English,boy,us,en,Latin,modern,
Tristan,Full of sorrow,Celtic,boy,us,en,Latin,classic,
Parker,Park keeper,English,boy,us,en,Latin,modern,
Colton,Coal town,English,boy,us,en,Latin,modern,
Spencer,Steward,French,boy,us,en,Latin,classic,
Ryder,Mounted warrior,English,boy,us,en,Latin,modern,
Kevin,Kind and gentle,Irish,boy,us,en,Latin,classic,
Preston,Priest town,English,boy,us,en,Latin,modern,
Damian,To tame or subdue,Greek,boy,us,en,Latin,classic,
Shawn,God is gracious,Hebrew,boy,us,en,Latin,modern,Variant of Sean
Brady,Spirited,Irish,boy,us,en,Latin,modern,
Grant,Great or tall,English,boy,us,en,Latin,classic,
Mitchell,Who is like God,Hebrew,boy,us,en,Latin,classic,Variant of Michael
Tobias,God is good,Hebrew,boy,us,en,Latin,classic,Biblical
Orion,Heavenly hunter,Greek,boy,us,en,Latin,classic,Mythological
Marshall,Horse caretaker,French,boy,us,en,Latin,classic,
Colin,Young creature,Irish,boy,us,en,Latin,classic,
Reed,Red-haired,English,boy,us,en,Latin,classic,

Blaire,Field or plain,Scottish,girl,us,en,Latin,modern,Unisex usage
Elise,Pledged to God,Hebrew,girl,us,en,Latin,classic,
Fiona,Fair or white,Irish,girl,us,en,Latin,classic,
Gemma,Precious stone,Latin,girl,us,en,Latin,classic,
Jasmine,Gift from God,Persian,girl,us,en,Latin,classic,
Keira,Dark-haired,Irish,girl,us,en,Latin,classic,
Laurel,Laurel tree,Latin,girl,us,en,Latin,classic,
Monroe,From the mouth of the river,Scottish,girl,us,en,Latin,modern,
Ophelia,Help or benefit,Greek,girl,us,en,Latin,classic,
Paige,Young servant,Latin,girl,us,en,Latin,classic,
Rosalie,Gentle rose,Latin,girl,us,en,Latin,classic,
Selena,Moon goddess,Greek,girl,us,en,Latin,classic,
Talia,Dew from God,Hebrew,girl,us,en,Latin,classic,
Veronica,True image,Greek,girl,us,en,Latin,classic,
Willow,Graceful tree,English,girl,us,en,Latin,modern,
Yara,Small butterfly,Arabic,girl,us,en,Latin,modern,
Zara,Blooming flower,Arabic,girl,us,en,Latin,modern,
Bianca,White or pure,Italian,girl,us,en,Latin,classic,
Daphne,Laurel tree,Greek,girl,us,en,Latin,classic,
Helena,Bright light,Greek,girl,us,en,Latin,classic,

Kieran,Little dark one,Irish,boy,ca,en,Latin,classic,
Lachlan,Land of lakes,Scottish,boy,ca,en,Latin,classic,
Travis,Crossing guardian,French,boy,ca,en,Latin,classic,
Wesley,Western meadow,English,boy,ca,en,Latin,classic,
Alistair,Defender of people,Greek,boy,ca,en,Latin,classic,
Cedric,Bounty or kindness,Celtic,boy,ca,en,Latin,classic,
Gavin,White hawk,Welsh,boy,ca,en,Latin,classic,
Rhys,Enthusiasm,Welsh,boy,ca,en,Latin,classic,
Stuart,House guardian,Scottish,boy,ca,en,Latin,classic,
Trevor,From the large village,Welsh,boy,ca,en,Latin,classic,

Anya,Grace,Hebrew,girl,ca,en,Latin,classic,
Bridget,Strength,Irish,girl,ca,en,Latin,classic,
Colette,Victory of the people,Greek,girl,ca,en,Latin,classic,
Danielle,God is my judge,Hebrew,girl,ca,en,Latin,classic,
Eloise,Healthy or wide,French,girl,ca,en,Latin,classic,
Genevieve,Tribe woman,Celtic,girl,ca,en,Latin,classic,
Isolde,Fair lady,Germanic,girl,ca,en,Latin,classic,
Juliette,Youthful,Latin,girl,ca,en,Latin,classic,
Marceline,Little warrior,Latin,girl,ca,en,Latin,classic,
Noelle,Christmas born,French,girl,ca,en,Latin,classic,
Oliver,Olive tree,Latin,boy,gb,en,Latin,modern,Consistently top-ranked in UK
George,Farmer / Earth worker,Greek,boy,gb,en,Latin,classic,Royal family favorite
Arthur,Bear man / Noble strength,Celtic,boy,gb,en,Latin,classic,Legendary King Arthur
Noah,Rest and comfort,Hebrew,boy,gb,en,Latin,modern,Biblical origin popular globally
Muhammad,Praiseworthy,Arabic,boy,gb,en,Latin,modern,Top rank due to cultural diversity
Leo,Lion,Latin,boy,gb,en,Latin,modern,Short and international
Harry,Home ruler,Germanic,boy,gb,en,Latin,modern,Prince Harry connection
Oscar,God spear / Deer lover,Gaelic,boy,gb,en,Latin,classic,Oscar Wilde association
Archie,Truly brave,Germanic,boy,gb,en,Latin,modern,Royal baby name
Henry,Home ruler,Germanic,boy,gb,en,Latin,classic,Name of eight kings
Jack,God is gracious,English,boy,gb,en,Latin,classic,Diminutive of John
Charlie,Free man,Germanic,boy,gb,en,Latin,modern,Friendly diminutive of Charles
Freddie,Peaceful ruler,Germanic,boy,gb,en,Latin,modern,Diminutive of Frederick
Theodore,Gift of God,Greek,boy,gb,en,Latin,classic,Nickname Teddy is popular
Thomas,Twin,Aramaic,boy,gb,en,Latin,classic,Biblical and historical depth
Finlay,Fair warrior,Scottish,boy,gb,en,Latin,modern,Scottish roots
Jacob,Supplanter,Hebrew,boy,gb,en,Latin,modern,Biblical patriarch
Alfie,Wise counselor,English,boy,gb,en,Latin,modern,Diminutive of Alfred
Lucas,Man from Lucania,Latin,boy,gb,en,Latin,modern,Latin form of Luke
Roman,Citizen of Rome,Latin,boy,gb,en,Latin,modern,Rising popularity
Joshua,God is salvation,Hebrew,boy,gb,en,Latin,modern,Biblical leader
James,Supplanter,Hebrew,boy,gb,en,Latin,classic,Royal Scottish/English name
Isaac,Laughter,Hebrew,boy,gb,en,Latin,classic,Biblical son of Abraham
William,Resolute protector,Germanic,boy,gb,en,Latin,classic,William the Conqueror
Teddy,Wealthy guardian,English,boy,gb,en,Latin,modern,Short for Edward or Theodore
Max,Greatest,Latin,boy,gb,en,Latin,modern,Short for Maximilian
Logan,Little hollow,Scottish,boy,gb,en,Latin,modern,Surname used as first name
Ethan,Strong / Enduring,Hebrew,boy,gb,en,Latin,modern,Biblical wisdom
Mason,Stone worker,English,boy,gb,en,Latin,modern,Occupational surname
Harrison,Son of Harry,English,boy,gb,en,Latin,modern,Surname trend
Arlo,Barberry tree,English,boy,gb,en,Latin,modern,Bohemian vibe
Alexander,Defender of men,Greek,boy,gb,en,Latin,classic,Alexander the Great
Elijah,Yahweh is God,Hebrew,boy,gb,en,Latin,classic,Biblical prophet
Reggie,Counsel power,Germanic,boy,gb,en,Latin,modern,Diminutive of Reginald
Daniel,God is my judge,Hebrew,boy,gb,en,Latin,classic,Enduring biblical favorite
Edward,Rich guard,English,boy,gb,en,Latin,classic,Royal traditional name
Jaxon,Son of Jack,English,boy,gb,en,Latin,modern,Modern spelling variation
Adam,Man / Earth,Hebrew,boy,gb,en,Latin,classic,First man in Bible
Sebastian,Venerable,Latin,boy,gb,en,Latin,classic,Saint Sebastian
Rory,Red king,Gaelic,boy,gb,en,Latin,modern,Irish/Scottish crossover
Dylan,Son of the sea,Welsh,boy,gb,en,Latin,modern,Welsh mythology
Toby,God is good,Hebrew,boy,gb,en,Latin,modern,Short for Tobias
Benjamin,Son of the right hand,Hebrew,boy,gb,en,Latin,classic,Biblical youngest son
Caleb,Whole hearted,Hebrew,boy,gb,en,Latin,modern,Biblical spy
Jude,Praised,Hebrew,boy,gb,en,Latin,modern,Beatles song association
Louie,Renowned warrior,Germanic,boy,gb,en,Latin,modern,Anglicized Louis
Carter,Cart transporter,English,boy,gb,en,Latin,modern,Occupational surname
Tommy,Twin,Aramaic,boy,gb,en,Latin,modern,Soldier 'Tommy' nickname
Reuben,Behold a son,Hebrew,boy,gb,en,Latin,classic,Biblical firstborn
Samuel,Told by God,Hebrew,boy,gb,en,Latin,classic,Biblical prophet
Olivia,Olive tree,Latin,girl,gb,en,Latin,modern,Consistently #1 in UK
Amelia,Work / Industrious,Germanic,girl,gb,en,Latin,classic,Victorian charm
Isla,Island,Scottish,girl,gb,en,Latin,modern,Scottish origin popular
Ava,Life / Bird / Water,Latin,girl,gb,en,Latin,modern,Short and elegant
Ivy,Climbing vine plant,English,girl,gb,en,Latin,modern,Botanical name trend
Freya,Noble lady,Norse,girl,gb,en,Latin,modern,Norse goddess of love
Lily,Lily flower,English,girl,gb,en,Latin,classic,Symbol of purity
Florence,Flourishing,Latin,girl,gb,en,Latin,classic,Florence Nightingale
Mia,Mine / Bitter,Latin,girl,gb,en,Latin,modern,Global popularity
Willow,Willow tree,English,girl,gb,en,Latin,modern,Nature inspired
Rosie,Rose flower,Latin,girl,gb,en,Latin,modern,Vintage nickname
Sophia,Wisdom,Greek,girl,gb,en,Latin,classic,Intellectual connotation
Daisy,Day's eye,English,girl,gb,en,Latin,modern,Flower name
Elsie,God is my oath,Scottish,girl,gb,en,Latin,modern,Vintage revival
Emily,Rival,Latin,girl,gb,en,Latin,classic,Literary Brontë sister
Grace,Gracious,Latin,girl,gb,en,Latin,classic,Virtue name
Millie,Gentle strength,Germanic,girl,gb,en,Latin,modern,Short for Mildred
Isabella,Devoted to God,Hebrew,girl,gb,en,Latin,classic,Royal European name
Ella,Fairy maiden / Light,Germanic,girl,gb,en,Latin,modern,Short and sweet
Sophie,Wisdom,Greek,girl,gb,en,Latin,classic,French form of Sophia
Phoebe,Radiant / Shining,Greek,girl,gb,en,Latin,classic,New Testament name
Sofia,Wisdom,Greek,girl,gb,en,Latin,modern,International spelling
Harper,Harp player,English,girl,gb,en,Latin,modern,Occupational surname
Evie,Life,Hebrew,girl,gb,en,Latin,modern,Diminutive of Eve
Charlotte,Free man,French,girl,gb,en,Latin,classic,Royal Princess name
Maya,Illusion / Water,Sanskrit,girl,gb,en,Latin,modern,Multicultural appeal
Sienna,Orange-red,Italian,girl,gb,en,Latin,modern,Place name / Color
Alice,Noble type,Germanic,girl,gb,en,Latin,classic,Lewis Carroll classic
Poppy,Poppy flower,English,girl,gb,en,Latin,modern,Remembrance symbol
Eva,Life,Hebrew,girl,gb,en,Latin,classic,Latin form of Eve
Luna,Moon,Latin,girl,gb,en,Latin,modern,Harry Potter influence
Evelyn,Desired,Germanic,girl,gb,en,Latin,classic,Vintage revival
Esme,Esteemed / Loved,French,girl,gb,en,Latin,modern,Literary usage
Aria,Air / Song,Italian,girl,gb,en,Latin,modern,Musical term
Matilda,Battle mighty,Germanic,girl,gb,en,Latin,classic,Roald Dahl character
Ruby,Red gemstone,Latin,girl,gb,en,Latin,modern,July birthstone
Chloe,Blooming,Greek,girl,gb,en,Latin,modern,Biblical / Nature
Jessica,God beholds,Hebrew,girl,gb,en,Latin,classic,Shakespearean invention
Hallie,Dweller at the hall,English,girl,gb,en,Latin,modern,Surname style
Zara,Blooming flower,Arabic,girl,gb,en,Latin,modern,Royal granddaughter
Layla,Night,Arabic,girl,gb,en,Latin,modern,Eric Clapton song
Scarlett,Red,English,girl,gb,en,Latin,modern,Gone with the Wind
Mabel,Lovable,Latin,girl,gb,en,Latin,classic,Vintage charm
Lola,Sorrows,Spanish,girl,gb,en,Latin,modern,Short for Dolores
Lucy,Light,Latin,girl,gb,en,Latin,classic,Narnia character
Erin,Ireland,Gaelic,girl,gb,en,Latin,modern,Poetic name for Ireland
Ada,Noble,Germanic,girl,gb,en,Latin,classic,Ada Lovelace (Computing)
Bonnie,Pretty / Good,Scottish,girl,gb,en,Latin,modern,Scottish term of endearment
Ellie,Bright shining one,Greek,girl,gb,en,Latin,modern,Short for Eleanor,
Gabriel,God is my strength,Hebrew,boy,fr,fr,Latin,classic,Biblical archangel #1
Léo,Lion,Latin,boy,fr,fr,Latin,modern,Very popular short form
Raphaël,God has healed,Hebrew,boy,fr,fr,Latin,classic,Artist Raphael namesake
Louis,Renowned warrior,Germanic,boy,fr,fr,Latin,classic,French Kings' name
Maël,Chief / Prince,Breton,boy,fr,fr,Latin,modern,Celtic/Breton roots
Noah,Rest and comfort,Hebrew,boy,fr,fr,Latin,modern,Global top name
Jules,Youthful,Latin,boy,fr,fr,Latin,classic,Julius Caesar link
Arthur,Bear man,Celtic,boy,fr,fr,Latin,classic,Legendary King
Adam,Man / Earth,Hebrew,boy,fr,fr,Latin,classic,First man
Lucas,Man from Lucania,Latin,boy,fr,fr,Latin,modern,International favorite
Isaac,Laughter,Hebrew,boy,fr,fr,Latin,classic,Biblical son
Liam,Strong-willed warrior,Irish,boy,fr,fr,Latin,modern,Short form of William
Sacha,Defender of men,Greek,boy,fr,fr,Latin,modern,Unisex usage (Alexandre)
Léon,Lion,Latin,boy,fr,fr,Latin,classic,Vintage revival
Hugo,Mind / Intellect,Germanic,boy,fr,fr,Latin,modern,Victor Hugo association
Gabin,From Gabium,Latin,boy,fr,fr,Latin,modern,Jean Gabin (actor) tribute
Mohamed,Praiseworthy,Arabic,boy,fr,fr,Latin,modern,Cultural diversity
Éden,Delight,Hebrew,boy,fr,fr,Latin,modern,Biblical garden
Naël,Gift of God,Arabic,boy,fr,fr,Latin,modern,Short form of Nathanael
Aaron,Mountain of strength,Hebrew,boy,fr,fr,Latin,classic,Moses' brother
Paul,Small / Humble,Latin,boy,fr,fr,Latin,classic,Saint Paul
Noé,Rest / Comfort,Hebrew,boy,fr,fr,Latin,modern,French form of Noah
Ethan,Strong / Enduring,Hebrew,boy,fr,fr,Latin,modern,American trend import
Tom,Twin,Aramaic,boy,fr,fr,Latin,modern,Short for Thomas
Malo,Bright pledge,Breton,boy,fr,fr,Latin,modern,Saint from Brittany
Nino,God is gracious,Italian,boy,fr,fr,Latin,modern,Short for Giovanni
Marceau,Little warrior,Latin,boy,fr,fr,Latin,classic,Marcel Marceau (Mime)
Mathis,Gift of God,Hebrew,boy,fr,fr,Latin,modern,Form of Matthew
Marius,Male / of Mars,Latin,boy,fr,fr,Latin,classic,Pagnol trilogy character
Yanis,God is gracious,Hebrew,boy,fr,fr,Latin,modern,French form of Yann
Timéo,Honoring God,Greek,boy,fr,fr,Latin,modern,Form of Timotheus
Ayden,Little fire,Irish,boy,fr,fr,Latin,modern,Modern spelling
Augustin,Majestic,Latin,boy,fr,fr,Latin,classic,Saint Augustine
Robin,Bright fame,Germanic,boy,fr,fr,Latin,modern,Robin Hood
Tiago,Supplanter,Hebrew,boy,fr,fr,Latin,modern,Portuguese influence
Côme,Order / Universe,Greek,boy,fr,fr,Latin,classic,Saint Cosmas
Gaspard,Treasurer,Persian,boy,fr,fr,Latin,classic,One of the Magi
Ibrahim,Father of many,Hebrew,boy,fr,fr,Latin,modern,Arabic form of Abraham
Soham,Sanskrit mantra,Sanskrit,boy,fr,fr,Latin,modern,Rising exotic name
Kaïs,Firm / Wise,Arabic,boy,fr,fr,Latin,modern,Qays (Majnun) legend
Mathéo,Gift of God,Hebrew,boy,fr,fr,Latin,modern,Variant of Mateo
Pablo,Small,Latin,boy,fr,fr,Latin,modern,Picasso association
Martin,Warrior of Mars,Latin,boy,fr,fr,Latin,classic,Patron Saint of France
Basile,Royal / Kingly,Greek,boy,fr,fr,Latin,classic,Saint Basil
Simon,He has heard,Hebrew,boy,fr,fr,Latin,classic,Biblical apostle
Joseph,He will add,Hebrew,boy,fr,fr,Latin,classic,Biblical father
Victor,Conqueror,Latin,boy,fr,fr,Latin,classic,Victor Hugo
Lucien,Light,Latin,boy,fr,fr,Latin,classic,Vintage charm
Axel,Father of peace,Hebrew,boy,fr,fr,Latin,modern,Scandinavian import
Antoine,Praiseworthy,Latin,boy,fr,fr,Latin,classic,Saint Anthony
Jade,Stone of the side,Spanish,girl,fr,fr,Latin,modern,Top #1 girl name
Louise,Renowned warrior,Germanic,girl,fr,fr,Latin,classic,Vintage revival
Ambre,Amber,Arabic,girl,fr,fr,Latin,modern,Nature inspired
Alba,Dawn / White,Latin,girl,fr,fr,Latin,modern,Rising popularity
Emma,Whole / Universal,Germanic,girl,fr,fr,Latin,modern,Top European name
Rose,Rose flower,Latin,girl,fr,fr,Latin,classic,Floral classic
